#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	FD
#d	g/d	g/d	g/d	g/d	g/d	g/d	
182.00347222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
182.00694444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0004128930279601
182.01041666666666	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.000793992670912
182.01388888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0005965401140807
182.01736111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0007044353714246
182.02083333333334	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006435857840928
182.02430555555554	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006791618222899
182.02777777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006584895789285
182.03125	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006699592107434
182.03472222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006653579049701
182.03819444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006607565991969
182.04166666666666	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006641907622177
182.04513888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006676249252385
182.04861111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006630236194652
182.05208333333334	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006664577824861
182.05555555555554	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006618564767128
182.05902777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006652906397336
182.0625	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006606893339603
182.06597222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006641234969812
182.06944444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.000667557660002
182.07291666666666	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006629563542287
182.07638888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006663905172495
182.07986111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006617892114763
182.08333333333334	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006652233744971
