#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	FD	Q_out
#d	g/d	g/d	g/d	g/d	g/d	g/d		m3/d
182.00347222222223	-36545099544.52515	-1624064.2119050156	-262064.90692103663	-7603573.35573712	-7418655.1533915	-13336768.530436913	0.1177797384119045	36545.09954452515
182.00694444444446	-54722955322.265625	-2431888.0483090454	-392418.29870441416	-11385657.68071962	-11108759.536605226	-19970594.607333552	0.144058933403641	54722.955322265625
182.01041666666666	-60384912300.10986	-2683505.564655996	-433020.2161149447	-12563685.143616706	-12258137.480314292	-22036870.404265508	0.1580038726827181	60384.91230010986
182.01388888888889	-54022504806.518555	-2400760.1132976566	-387395.3819184855	-11239922.348620849	-10966568.474334482	-19714972.90159421	0.1679414957142908	54022.504806518555
182.01736111111111	-43869747161.865234	-1949571.5512814133	-314589.9548658644	-9127539.535544798	-8905558.616339488	-16009825.42584696	0.1755479100745365	43869.747161865234
182.02083333333334	-34494247341.156006	-1532924.3096082597	-247358.2408686055	-7176872.904075034	-7002332.017337458	-12588330.277867649	0.1835913230418162	34494.247341156006
182.02430555555554	-31811151695.251465	-1413687.6252744824	-228117.77589656416	-6618628.42742144	-6457663.994840682	-11609162.060478613	0.1913736338549706	31811.151695251465
182.02777777777777	-30703297233.581543	-1364454.5859265854	-220173.3536381536	-6388128.288656289	-6232769.598179498	-11204861.759407025	0.1987824068927007	30703.297233581543
182.03125	-30523711967.46826	-1356473.7469920593	-218885.5364464459	-6350763.45182646	-6196313.470733304	-11139323.33994784	0.2058809136491129	30523.71196746826
182.03472222222223	-30793082141.87622	-1253848.259702925	-202325.5146338811	-5870289.579518242	-5727524.678660977	-10296565.794239096	0.2126345780438392	30793.08214187622
182.03819444444446	-31202340030.670166	-1184306.0103374424	-191103.92439536005	-5544705.412034391	-5409858.688085077	-9725486.845466835	0.2196510101501397	31202.340030670166
182.04166666666666	-31658633995.056152	-1138605.6060451518	-183729.5409754677	-5330744.428302303	-5213363.050761226	-9384807.434191208	0.2262680051430626	31658.633995056152
182.04513888888889	-32501657867.43164	-1114318.9038833275	-179810.55039935518	-5217038.504544672	-5112930.818918949	-9215027.304522116	0.2330997191354801	32501.65786743164
